depto,mupio,sector,hhid,upm2,agreg3
guatemala,18.0,170.0,423.0,1181170.0,17946.560546875
guatemala,18.0,170.0,424.0,1181170.0,8483.552734375
guatemala,19.0,13.0,425.0,1191013.0,19458.92578125
guatemala,19.0,13.0,426.0,1191013.0,7482.865234375
guatemala,19.0,13.0,427.0,1191013.0,14874.3095703125
guatemala,19.0,13.0,428.0,1191013.0,13735.181640625
guatemala,19.0,13.0,429.0,1191013.0,9705.689453125
guatemala,19.0,13.0,430.0,1191013.0,28558.880859375
guatemala,19.0,13.0,431.0,1191013.0,9298.212890625
guatemala,19.0,13.0,432.0,1191013.0,5923.16943359375
guatemala,19.0,13.0,433.0,1191013.0,13589.037109375
guatemala,20.0,35.0,434.0,1201035.0,13030.6533203125
guatemala,20.0,35.0,435.0,1201035.0,22766.625
guatemala,20.0,35.0,436.0,1201035.0,12720.3330078125
guatemala,20.0,35.0,437.0,1201035.0,31056.302734375
guatemala,20.0,35.0,438.0,1201035.0,11813.7001953125
guatemala,20.0,35.0,439.0,1201035.0,35585.12890625
guatemala,20.0,35.0,440.0,1201035.0,19500.412109375
guatemala,20.0,35.0,441.0,1201035.0,22324.236328125
guatemala,20.0,35.0,442.0,1201035.0,17024.6328125
guatemala,20.0,35.0,443.0,1201035.0,54633.48828125
guatemala,20.0,35.0,444.0,1201035.0,22555.369140625
guatemala,20.0,35.0,445.0,1201035.0,15947.9287109375
guatemala,20.0,35.0,446.0,1201035.0,16898.857421875
guatemala,20.0,55.0,447.0,1201055.0,8611.7236328125
guatemala,20.0,55.0,448.0,1201055.0,12212.9580078125
guatemala,20.0,55.0,449.0,1201055.0,13692.1064453125
guatemala,20.0,55.0,450.0,1201055.0,13907.380859375
guatemala,20.0,55.0,451.0,1201055.0,21623.845703125
guatemala,20.0,55.0,452.0,1201055.0,14564.3916015625
guatemala,20.0,55.0,453.0,1201055.0,15028.4970703125
guatemala,20.0,55.0,454.0,1201055.0,18373.421875
guatemala,23.0,17.0,455.0,1231017.0,10299.755859375
guatemala,23.0,17.0,456.0,1231017.0,5794.37744140625
guatemala,23.0,17.0,457.0,1231017.0,9738.55859375
